method,dataset,script,arch,gamma,seed,lr,n_z,noise,run_config_found,run_config_match,final_result_found,acc,nmi,ari,status,message,log_file
DMCAG,BDGP,train_fc.py,10,0.1,0,0.001,10,0,True,True,True,0.958,0.8976,0.9004,ok,ok,logs/stage7_dmcag_grid/BDGP/BDGP_arch10_gamma0p1_seed0.log
DMCAG,BDGP,train_fc.py,10,1,0,0.001,10,0,True,True,True,0.9784,0.9424,0.9471,ok,ok,logs/stage7_dmcag_grid/BDGP/BDGP_arch10_gamma1_seed0.log
DMCAG,BDGP,train_fc.py,50,0.1,0,0.001,10,0,True,True,True,0.516,0.4449,0.3177,ok,ok,logs/stage7_dmcag_grid/BDGP/BDGP_arch50_gamma0p1_seed0.log
DMCAG,BDGP,train_fc.py,50,1,0,0.001,10,0,True,True,True,0.8072,0.7035,0.6511,ok,ok,logs/stage7_dmcag_grid/BDGP/BDGP_arch50_gamma1_seed0.log
DMCAG,HW,train_fc.py,10,0.1,0,0.001,10,0,True,True,True,0.972,0.9392,0.9386,ok,ok,logs/stage7_dmcag_grid/HW/HW_arch10_gamma0p1_seed0.log
DMCAG,HW,train_fc.py,10,1,0,0.001,10,0,True,True,True,0.9535,0.9158,0.9043,ok,ok,logs/stage7_dmcag_grid/HW/HW_arch10_gamma1_seed0.log
DMCAG,HW,train_fc.py,50,0.1,0,0.001,10,0,True,True,True,0.9745,0.9414,0.9444,ok,ok,logs/stage7_dmcag_grid/HW/HW_arch50_gamma0p1_seed0.log
DMCAG,HW,train_fc.py,50,1,0,0.001,10,0,True,True,True,0.977,0.9479,0.9499,ok,ok,logs/stage7_dmcag_grid/HW/HW_arch50_gamma1_seed0.log
DMCAG,BDGP,train_fc.py,10,0.1,1,0.001,10,0,True,True,True,0.9656,0.9209,0.9184,ok,ok,logs/stage7_dmcag_grid/BDGP/BDGP_arch10_gamma0p1_seed1.log
DMCAG,BDGP,train_fc.py,10,0.1,2,0.001,10,0,True,True,True,0.7496,0.6464,0.5727,ok,ok,logs/stage7_dmcag_grid/BDGP/BDGP_arch10_gamma0p1_seed2.log
