dataset,arch,gamma,num_runs,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std
BDGP,10,0.1,5,0.85552,0.144235,0.78608,0.160012,0.75218,0.205458
BDGP,10,1.0,5,0.9756,0.005169,0.93776,0.00753,0.9408,0.011475
BDGP,10,10.0,5,0.9048,0.102999,0.84348,0.125256,0.82276,0.154557
BDGP,20,0.1,5,0.75904,0.155029,0.66512,0.174091,0.6083,0.209654
BDGP,20,1.0,5,0.96848,0.010148,0.9226,0.019161,0.92442,0.02316
BDGP,20,10.0,5,0.97464,0.006391,0.9363,0.011768,0.9387,0.014531
BDGP,30,0.1,5,0.74256,0.083171,0.65238,0.087412,0.57898,0.109131
BDGP,30,1.0,5,0.9692,0.011317,0.9254,0.022596,0.92626,0.025924
BDGP,30,10.0,5,0.97688,0.005929,0.9413,0.009942,0.94396,0.013366
BDGP,40,0.1,5,0.76424,0.09097,0.65384,0.095024,0.59416,0.118554
BDGP,40,1.0,5,0.79384,0.092972,0.7138,0.109074,0.65424,0.140411
BDGP,40,10.0,5,0.97392,0.008002,0.93442,0.016957,0.93704,0.018417
BDGP,50,0.1,5,0.66216,0.108152,0.59,0.11839,0.50546,0.138275
BDGP,50,1.0,5,0.82024,0.136356,0.7514,0.140933,0.70656,0.182098
BDGP,50,10.0,5,0.97344,0.007422,0.93494,0.012882,0.93614,0.016715
BDGP,60,0.1,5,0.78424,0.161818,0.69972,0.183199,0.6448,0.230596
BDGP,60,1.0,5,0.81944,0.140756,0.75546,0.149524,0.70856,0.194205
BDGP,60,10.0,5,0.97624,0.006768,0.93998,0.012331,0.94246,0.015319
BDGP,80,0.1,5,0.68696,0.049037,0.56176,0.062817,0.48742,0.077752
BDGP,80,1.0,5,0.70632,0.068077,0.63544,0.053666,0.55618,0.063756
BDGP,80,10.0,5,0.9724,0.00801,0.93134,0.01468,0.93356,0.018208
BDGP,100,0.1,5,0.7516,0.116997,0.64038,0.140662,0.5718,0.182927
BDGP,100,1.0,5,0.7228,0.080746,0.64976,0.062138,0.57572,0.069857
BDGP,100,10.0,5,0.9744,0.005993,0.9334,0.010723,0.93786,0.013542
HW,10,0.1,5,0.9752,0.005922,0.94462,0.010184,0.94548,0.013162
HW,10,1.0,5,0.9713,0.010866,0.94022,0.015406,0.93822,0.021357
HW,10,10.0,5,0.9768,0.003233,0.9472,0.006192,0.94932,0.006912
HW,20,0.1,5,0.9774,0.002632,0.9482,0.005019,0.9506,0.005624
HW,20,1.0,5,0.9777,0.001151,0.94926,0.001965,0.95126,0.002412
HW,20,10.0,5,0.9786,0.002559,0.95064,0.005093,0.95314,0.005446
HW,30,0.1,5,0.9372,0.06311,0.91604,0.049171,0.89326,0.082934
HW,30,1.0,5,0.9781,0.001817,0.94952,0.003738,0.95206,0.003926
HW,30,10.0,5,0.9772,0.000975,0.94752,0.001748,0.9501,0.002095
HW,40,0.1,5,0.9632,0.031461,0.93374,0.030937,0.92566,0.055158
HW,40,1.0,5,0.9768,0.002019,0.9476,0.004372,0.9494,0.004409
HW,40,10.0,5,0.9779,0.002815,0.94926,0.00617,0.95166,0.006048
HW,50,0.1,5,0.9771,0.002275,0.94792,0.005391,0.94998,0.004931
HW,50,1.0,5,0.9719,0.007553,0.94074,0.008249,0.9397,0.0145
HW,50,10.0,5,0.9784,0.002434,0.95062,0.005139,0.95272,0.005208
HW,60,0.1,5,0.9517,0.056598,0.93066,0.039448,0.91796,0.071516
HW,60,1.0,5,0.9563,0.046918,0.93116,0.039431,0.91886,0.070628
HW,60,10.0,5,0.9755,0.00473,0.94526,0.008673,0.94658,0.010058
HW,80,0.1,5,0.88,0.055366,0.87356,0.046207,0.81098,0.082792
HW,80,1.0,5,0.9645,0.027758,0.9351,0.028634,0.92738,0.049858
HW,80,10.0,5,0.9794,0.000822,0.9532,0.001713,0.95492,0.001708
HW,100,0.1,5,0.8584,0.077332,0.8575,0.053247,0.7893,0.096021
HW,100,1.0,5,0.9551,0.047317,0.92968,0.037794,0.91704,0.069697
HW,100,10.0,5,0.9784,0.000652,0.9508,0.001591,0.95276,0.001394
